1.7501238227870644E14,2
1.1042230266751284E14,3
8.254482899784125E13,4
6.273214764090971E13,5
5.400035311922065E13,6
4.2727087961673984E13,7
3.8788010097025625E13,8
3.3929959004550016E13,9
2.8767403265973305E13,10
2.5434274302751664E13,11
2.206476554846834E13,12
2.1198747712765227E13,13
2.1776263181991508E13,14
1.680219098591384E13,15
1.4927158310837396E13,16
1.5850177437446977E13,17
1.3767053243625703E13,18
1.3346232368469416E13,19
1.280622003592679E13,20
1.2395454259126117E13,21
1.1663439840513973E13,22
1.1360623389548994E13,23
1.1235944476029703E13,24
1.0587481637397668E13,25
